Quote Number,Design Quotes,Order Number,OPT,COF,DS,CUST REF,ORGANIZER 1,ORGANIZER 2,SUB SYS ID,ORGANIZER 3,ORGANIZER 4,LIST ID,LIM,O,APC,Quantity,NOMENCLATURE,DESCRIPTION,UNIT LIST,EXT LIST,TOTAL QTY,EXT EXCHANGE RATE,EXT STAGING,EXT FIELD,EXT DROPSHIP,CUSTOMER DISCOUNT (%),UNIT CUSTOMER DISCOUNT,EXT CUSTOMER DISCOUNT,Unit Discount Price Currency,Unit Discount Price,Ext Discount Amount Currency,Ext Discount Amount,FAMILY GROUP,PRODUCT STATUS,PRODUCT STATUS REFRESH DATE,CFG,LOCATION,OPTIONAL,ORGANIZER 5,ORGANIZER 6,ORGANIZER 7,ORGANIZER 8,EID,PID,TERM,Currency,DESIGN QUOTE,REPORT RUN DATE,SORT ORDER,Country of Origin,Parametric Data
QUOTE-3114523,QUOTE-2939727,3203756617,0,0,0,,FIELD,,,,,,1,,0112,1,T7039A,GTR 8000 BASE RADIO,0,0,1,,0,0,0,0,0,0,USD,0,USD,0,GTR 8000 Base Radio,,,,,,,,,,,,,USD,QUOTE-3114523,1/15/2026 13:50,03114523-001-02,US,"Channel = 1,TX_FREQ= 167.8250; Channel = 1,RX_FREQ= 164.2250"
QUOTE-3114523,QUOTE-2939727,3203756617,0,0,0,,FIELD,,,,,,1,a,0112,1,CA03863AA,ADD: ASTRO SYSTEM RELEASE 2022.1,0,0,1,,0,0,0,0,0,0,USD,0,USD,0,GTR 8000 Base Radio,,,,,,,,,,,,,USD,QUOTE-3114523,1/15/2026 13:50,03114523-001-03,US,
QUOTE-3114523,QUOTE-2939727,3203756617,0,0,0,,FIELD,,,,,,1,b,0112,1,X530BG,ADD: VHF (136-174 MHZ),6300,6300,1,,0,6300,0,0,0,0,USD,6300,USD,4764.49,GTR 8000 Base Radio,,,,,,,,,,,,,USD,QUOTE-3114523,1/15/2026 13:50,03114523-001-04,US,
QUOTE-3114523,QUOTE-2939727,3203756617,0,0,0,,FIELD,,,,,,1,c,0112,1,CA01948AA,ADD: DIGITAL CONVENTIONAL SOFTWARE,16900,16900,1,,0,16900,0,0,0,0,USD,16900,USD,12788.23,GTR 8000 Base Radio,,,,,,,,,,,,,USD,QUOTE-3114523,1/15/2026 13:50,03114523-001-05,US,
QUOTE-3114523,QUOTE-2939727,3203756617,0,0,0,,FIELD,,,,,,1,d,0112,1,CA01953AA,ADD: POWER EFFICIENCY PACKAGE,500,500,1,,0,500,0,0,0,0,USD,500,USD,378.35,GTR 8000 Base Radio,,,,,,,,,,,,,USD,QUOTE-3114523,1/15/2026 13:50,03114523-001-06,US,
QUOTE-3114523,QUOTE-2939727,3203756617,0,0,0,,FIELD,,,,,,1,e,0112,1,X153AW,ADD: RACK MOUNT HARDWARE,50,50,1,,0,50,0,0,0,0,USD,50,USD,37.84,GTR 8000 Base Radio,,,,,,,,,,,,,USD,QUOTE-3114523,1/15/2026 13:50,03114523-001-07,US,
QUOTE-3114523,QUOTE-2939727,3203756617,0,0,0,,FIELD,,,,,,1,f,0112,1,CA02310AA,ADD: R&TTE CERTIFICATION,0,0,1,,0,0,0,0,0,0,USD,0,USD,0,GTR 8000 Base Radio,,,,,,,,,,,,,USD,QUOTE-3114523,1/15/2026 13:50,03114523-001-08,US,
QUOTE-3114523,QUOTE-2939727,3203756617,0,0,0,,FIELD,,,CMR GTR,,,2,,0112,1,T7039A,GTR 8000 BASE RADIO,0,0,1,,0,0,0,0,0,0,USD,0,USD,0,GTR 8000 Base Radio,,,,,,,,,,,,,USD,QUOTE-3114523,1/15/2026 13:50,03114523-002-10,US,"Channel = 1,TX_FREQ= 169.0375; Channel = 1,RX_FREQ= 164.3250"
QUOTE-3114523,QUOTE-2939727,3203756617,0,0,0,,FIELD,,,CMR GTR,,,2,a,0112,1,CA03863AA,ADD: ASTRO SYSTEM RELEASE 2022.1,0,0,1,,0,0,0,0,0,0,USD,0,USD,0,GTR 8000 Base Radio,,,,,,,,,,,,,USD,QUOTE-3114523,1/15/2026 13:50,03114523-002-11,US,
QUOTE-3114523,QUOTE-2939727,3203756617,0,0,0,,FIELD,,,CMR GTR,,,2,b,0112,1,X530BG,ADD: VHF (136-174 MHZ),6300,6300,1,,0,6300,0,0,0,0,USD,6300,USD,4767.21,GTR 8000 Base Radio,,,,,,,,,,,,,USD,QUOTE-3114523,1/15/2026 13:50,03114523-002-12,US,
